"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Авторизация","6525","Авторизация, выбор логина и пароля","tests.test_autofication","Thu Feb 12 18:48:14 UTC 2026","passed","Thu Feb 12 18:48:21 UTC 2026","","test_avtorization","",""
"Проверка, что кнопка неактивна","6124","test_hover","tests","Thu Feb 12 18:48:50 UTC 2026","passed","Thu Feb 12 18:48:56 UTC 2026","","test_hover","",""
"Авторизация","12032","test_login[webkit]","tests","Thu Feb 12 18:49:31 UTC 2026","passed","Thu Feb 12 18:49:43 UTC 2026","","test_login","",""
"ListMeni","16428","test_list_menu[chromium]","tests","Thu Feb 12 18:49:00 UTC 2026","passed","Thu Feb 12 18:49:16 UTC 2026","","test_list_bar_dasboards","",""
"Dashboard","30957","test_created_course[chromium]","tests","Thu Feb 12 18:49:24 UTC 2026","skipped","Thu Feb 12 18:49:55 UTC 2026","","test_create_course","",""
"Dashboard","5512","test_dashboard[webkit]","tests","Thu Feb 12 18:48:31 UTC 2026","passed","Thu Feb 12 18:48:36 UTC 2026","","test_dasbord_grafic","",""
"","0","test_several_number[1-1]","tests","Thu Feb 12 18:49:35 UTC 2026","passed","Thu Feb 12 18:49:35 UTC 2026","","test_parametrization","",""
"Проверка активности кнопки Регистрация","6513","test_hover","tests","Thu Feb 12 18:49:29 UTC 2026","passed","Thu Feb 12 18:49:35 UTC 2026","","test_login2","",""
"Dashboard","30782","test_created_course[webkit]","tests","Thu Feb 12 18:48:52 UTC 2026","skipped","Thu Feb 12 18:49:23 UTC 2026","","test_create_course","",""
"","0","test_number[1]","tests","Thu Feb 12 18:49:55 UTC 2026","passed","Thu Feb 12 18:49:55 UTC 2026","","test_parametrization","",""
"Проверка, что кнопка неактивна","6560","test_desabled","tests","Thu Feb 12 18:48:43 UTC 2026","passed","Thu Feb 12 18:48:50 UTC 2026","","test_desabled","",""
"ListMeni","644","test_cousesed[webkit]","tests","Thu Feb 12 18:48:39 UTC 2026","passed","Thu Feb 12 18:48:40 UTC 2026","","test_course","",""
"","0","test_number[-1]","tests","Thu Feb 12 18:49:35 UTC 2026","skipped","Thu Feb 12 18:49:35 UTC 2026","","test_parametrization","",""
"","0","test_rerun_with_condition","tests","Thu Feb 12 18:49:57 UTC 2026","skipped","Thu Feb 12 18:49:57 UTC 2026","","test_reruns","",""
"Register","5801","test_register1[chromium]","tests","Thu Feb 12 18:49:51 UTC 2026","passed","Thu Feb 12 18:49:57 UTC 2026","","test_registration","",""
"Авторизация","6219","Авторизация, выбор логина и пароля","tests.test_autofication","Thu Feb 12 18:47:55 UTC 2026","passed","Thu Feb 12 18:48:02 UTC 2026","","test_avtorization","",""
"ListMeni","1356","test_cousesed[firefox]","tests","Thu Feb 12 18:48:36 UTC 2026","passed","Thu Feb 12 18:48:38 UTC 2026","","test_course","",""
"Register","7009","test_register1[webkit]","tests","Thu Feb 12 18:49:44 UTC 2026","passed","Thu Feb 12 18:49:51 UTC 2026","","test_registration","",""
"","0","test_number[3]","tests","Thu Feb 12 18:49:43 UTC 2026","passed","Thu Feb 12 18:49:43 UTC 2026","","test_parametrization","",""
"Авторизация","6493","Авторизация, выбор логина и пароля","tests.test_autofication","Thu Feb 12 18:48:14 UTC 2026","passed","Thu Feb 12 18:48:21 UTC 2026","","test_avtorization","",""
"Авторизация","6232","Авторизация, выбор логина и пароля","tests.test_autofication","Thu Feb 12 18:48:04 UTC 2026","passed","Thu Feb 12 18:48:10 UTC 2026","","test_avtorization","",""
"Авторизация","12331","test_login[firefox]","tests","Thu Feb 12 18:49:17 UTC 2026","passed","Thu Feb 12 18:49:29 UTC 2026","","test_login","",""
"ResRegister","11288","test_register","tests","Thu Feb 12 18:49:55 UTC 2026","passed","Thu Feb 12 18:50:07 UTC 2026","","test_res_register","",""
"ListMeni","1419","test_cousesed[chromium]","tests","Thu Feb 12 18:48:14 UTC 2026","passed","Thu Feb 12 18:48:16 UTC 2026","","test_course","",""
"","0","test_several_number[2-4]","tests","Thu Feb 12 18:49:35 UTC 2026","passed","Thu Feb 12 18:49:35 UTC 2026","","test_parametrization","",""
"ListMeni","17584","test_list_menu[webkit]","tests","Thu Feb 12 18:48:41 UTC 2026","passed","Thu Feb 12 18:48:59 UTC 2026","","test_list_bar_dasboards","",""
